
NOTICE: Existing SQLite export found: report1.sqlite
        It is assumed file was previously exported from: report1.nsys-rep
        Consider using --force-export=true if needed.

Processing [report1.sqlite] with [/usr/local/cuda-12.9/NsightSystems-cli-2025.3.1/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances    Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)    Style                                                   Range                                                
 --------  ---------------  ---------  ------------  -----------  ---------  ----------  ------------  --------  ----------------------------------------------------------------------------------------------------
     44.2      24435527151        520    46991398.4     306084.5     276744  3222094398   323301136.5  StartEnd  :myelin::autotuner::compile_subgraph_internal                                                       
     31.4      17347920945         26   667227728.7  222886094.5  127492280  6597327125  1546013748.7  StartEnd  :myelinGraphCompile                                                                                 
     12.0       6607191746          5  1321438349.2   79242827.0   51306056  3256420621  1726561916.3  StartEnd  :myelin::autotuner::run                                                                             
      3.8       2078508101         89    23354023.6    2389204.0    1482162   499764075    87982377.6  StartEnd  :myelin::autotuner::get_best_tactics                                                                
      2.7       1506864216        500     3013728.4    2720689.0    2178552    45873839     2090663.9  StartEnd  :myelin::autotuner::evaluate_tactic                                                                 
      2.5       1389670076        520     2672442.5    2275512.5    1660353    45111178     2158224.0  StartEnd  :myelin::autotuner::run_compiled                                                                    
      1.0        575743130        196     2937464.9    2816750.5    1050965     5706642      759701.4  StartEnd  :myelinGraphDeserializeBinary                                                                       
      0.8        431610038        546      790494.6     493737.0     321305     6112798     1035788.1  StartEnd  myelin-exec:myelinGraphLoadPersistent                                                               
      0.8        423363336        520      814160.3     744236.0     673330     2320913      222491.1  StartEnd  :myelin::autotuner::deserialize_binary                                                              
      0.2        126320015         33     3827879.2     992344.0     903713    58875795    11018346.7  PushPop   TensorRT:ExecutionContext::enqueue                                                                  
      0.1         71420125         33     2164246.2      15200.0      13861    48183472     9160557.0  PushPop   TensorRT:LLaMAForCausalLM/transformer/layers/0/attention/wrapper_L551/gpt_attention_L5966/PLUGIN_V2…
      0.1         51328775         26     1974183.7    2334028.5      48381     2971203      872364.4  StartEnd  myelin-exec:myelinGraphUnloadPersistent                                                             
      0.1         41383698        500       82767.4      75741.0      52741      226494       23063.2  StartEnd  :myelin::autotuner::create_subgraph                                                                 
      0.1         38970879       1167       33394.1      27030.0       2750      366125       50604.1  StartEnd  myelin-exec:myelinGraphExecute                                                                      
      0.0         13361654        716       18661.5      16665.0       1270       87851       12032.6  StartEnd  :myelinBinaryGraphCreate                                                                            
